SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,SALES_SERVICES,DEPOSIT_INTERBANK_ADD,LOAN_PBC_ADD,OFI_BF_ADD,RECEIVE_ORIGIC_PREMIUM,RECEIVE_REINSURE_NET,INSURED_INVEST_ADD,DISPOSAL_TFA_ADD,RECEIVE_INTEREST_COMMISSION,BORROW_FUND_ADD,LOAN_ADVANCE_REDUCE,REPO_BUSINESS_ADD,RECEIVE_TAX_REFUND,RECEIVE_OTHER_OPERATE,OPERATE_INFLOW_OTHER,OPERATE_INFLOW_BALANCE,TOTAL_OPERATE_INFLOW,BUY_SERVICES,LOAN_ADVANCE_ADD,PBC_INTERBANK_ADD,PAY_ORIGIC_COMPENSATE,PAY_INTEREST_COMMISSION,PAY_POLICY_BONUS,PAY_STAFF_CASH,PAY_ALL_TAX,PAY_OTHER_OPERATE,OPERATE_OUTFLOW_OTHER,OPERATE_OUTFLOW_BALANCE,TOTAL_OPERATE_OUTFLOW,OPERATE_NETCASH_OTHER,OPERATE_NETCASH_BALANCE,NETCASH_OPERATE,WITHDRAW_INVEST,RECEIVE_INVEST_INCOME,DISPOSAL_LONG_ASSET,DISPOSAL_SUBSIDIARY_OTHER,REDUCE_PLEDGE_TIMEDEPOSITS,RECEIVE_OTHER_INVEST,INVEST_INFLOW_OTHER,INVEST_INFLOW_BALANCE,TOTAL_INVEST_INFLOW,CONSTRUCT_LONG_ASSET,INVEST_PAY_CASH,PLEDGE_LOAN_ADD,OBTAIN_SUBSIDIARY_OTHER,ADD_PLEDGE_TIMEDEPOSITS,PAY_OTHER_INVEST,INVEST_OUTFLOW_OTHER,INVEST_OUTFLOW_BALANCE,TOTAL_INVEST_OUTFLOW,INVEST_NETCASH_OTHER,INVEST_NETCASH_BALANCE,NETCASH_INVEST,ACCEPT_INVEST_CASH,SUBSIDIARY_ACCEPT_INVEST,RECEIVE_LOAN_CASH,ISSUE_BOND,RECEIVE_OTHER_FINANCE,FINANCE_INFLOW_OTHER,FINANCE_INFLOW_BALANCE,TOTAL_FINANCE_INFLOW,PAY_DEBT_CASH,ASSIGN_DIVIDEND_PORFIT,SUBSIDIARY_PAY_DIVIDEND,BUY_SUBSIDIARY_EQUITY,PAY_OTHER_FINANCE,SUBSIDIARY_REDUCE_CASH,FINANCE_OUTFLOW_OTHER,FINANCE_OUTFLOW_BALANCE,TOTAL_FINANCE_OUTFLOW,FINANCE_NETCASH_OTHER,FINANCE_NETCASH_BALANCE,NETCASH_FINANCE,RATE_CHANGE_EFFECT,CCE_ADD_OTHER,CCE_ADD_BALANCE,CCE_ADD,BEGIN_CCE,END_CCE_OTHER,END_CCE_BALANCE,END_CCE,NETPROFIT,ASSET_IMPAIRMENT,FA_IR_DEPR,OILGAS_BIOLOGY_DEPR,IR_DEPR,IA_AMORTIZE,LPE_AMORTIZE,DEFER_INCOME_AMORTIZE,PREPAID_EXPENSE_REDUCE,ACCRUED_EXPENSE_ADD,DISPOSAL_LONGASSET_LOSS,FA_SCRAP_LOSS,FAIRVALUE_CHANGE_LOSS,FINANCE_EXPENSE,INVEST_LOSS,DEFER_TAX,DT_ASSET_REDUCE,DT_LIAB_ADD,PREDICT_LIAB_ADD,INVENTORY_REDUCE,OPERATE_RECE_REDUCE,OPERATE_PAYABLE_ADD,OTHER,OPERATE_NETCASH_OTHERNOTE,OPERATE_NETCASH_BALANCENOTE,NETCASH_OPERATENOTE,DEBT_TRANSFER_CAPITAL,CONVERT_BOND_1YEAR,FINLEASE_OBTAIN_FA,UNINVOLVE_INVESTFIN_OTHER,END_CASH,BEGIN_CASH,END_CASH_EQUIVALENTS,BEGIN_CASH_EQUIVALENTS,CCE_ADD_OTHERNOTE,CCE_ADD_BALANCENOTE,CCE_ADDNOTE,SALES_SERVICES_YOY,DEPOSIT_INTERBANK_ADD_YOY,LOAN_PBC_ADD_YOY,OFI_BF_ADD_YOY,RECEIVE_ORIGIC_PREMIUM_YOY,RECEIVE_REINSURE_NET_YOY,INSURED_INVEST_ADD_YOY,DISPOSAL_TFA_ADD_YOY,RECEIVE_INTEREST_COMMISSION_YOY,BORROW_FUND_ADD_YOY,LOAN_ADVANCE_REDUCE_YOY,REPO_BUSINESS_ADD_YOY,RECEIVE_TAX_REFUND_YOY,RECEIVE_OTHER_OPERATE_YOY,OPERATE_INFLOW_OTHER_YOY,OPERATE_INFLOW_BALANCE_YOY,TOTAL_OPERATE_INFLOW_YOY,BUY_SERVICES_YOY,LOAN_ADVANCE_ADD_YOY,PBC_INTERBANK_ADD_YOY,PAY_ORIGIC_COMPENSATE_YOY,PAY_INTEREST_COMMISSION_YOY,PAY_POLICY_BONUS_YOY,PAY_STAFF_CASH_YOY,PAY_ALL_TAX_YOY,PAY_OTHER_OPERATE_YOY,OPERATE_OUTFLOW_OTHER_YOY,OPERATE_OUTFLOW_BALANCE_YOY,TOTAL_OPERATE_OUTFLOW_YOY,OPERATE_NETCASH_OTHER_YOY,OPERATE_NETCASH_BALANCE_YOY,NETCASH_OPERATE_YOY,WITHDRAW_INVEST_YOY,RECEIVE_INVEST_INCOME_YOY,DISPOSAL_LONG_ASSET_YOY,DISPOSAL_SUBSIDIARY_OTHER_YOY,REDUCE_PLEDGE_TIMEDEPOSITS_YOY,RECEIVE_OTHER_INVEST_YOY,INVEST_INFLOW_OTHER_YOY,INVEST_INFLOW_BALANCE_YOY,TOTAL_INVEST_INFLOW_YOY,CONSTRUCT_LONG_ASSET_YOY,INVEST_PAY_CASH_YOY,PLEDGE_LOAN_ADD_YOY,OBTAIN_SUBSIDIARY_OTHER_YOY,ADD_PLEDGE_TIMEDEPOSITS_YOY,PAY_OTHER_INVEST_YOY,INVEST_OUTFLOW_OTHER_YOY,INVEST_OUTFLOW_BALANCE_YOY,TOTAL_INVEST_OUTFLOW_YOY,INVEST_NETCASH_OTHER_YOY,INVEST_NETCASH_BALANCE_YOY,NETCASH_INVEST_YOY,ACCEPT_INVEST_CASH_YOY,SUBSIDIARY_ACCEPT_INVEST_YOY,RECEIVE_LOAN_CASH_YOY,ISSUE_BOND_YOY,RECEIVE_OTHER_FINANCE_YOY,FINANCE_INFLOW_OTHER_YOY,FINANCE_INFLOW_BALANCE_YOY,TOTAL_FINANCE_INFLOW_YOY,PAY_DEBT_CASH_YOY,ASSIGN_DIVIDEND_PORFIT_YOY,SUBSIDIARY_PAY_DIVIDEND_YOY,BUY_SUBSIDIARY_EQUITY_YOY,PAY_OTHER_FINANCE_YOY,SUBSIDIARY_REDUCE_CASH_YOY,FINANCE_OUTFLOW_OTHER_YOY,FINANCE_OUTFLOW_BALANCE_YOY,TOTAL_FINANCE_OUTFLOW_YOY,FINANCE_NETCASH_OTHER_YOY,FINANCE_NETCASH_BALANCE_YOY,NETCASH_FINANCE_YOY,RATE_CHANGE_EFFECT_YOY,CCE_ADD_OTHER_YOY,CCE_ADD_BALANCE_YOY,CCE_ADD_YOY,BEGIN_CCE_YOY,END_CCE_OTHER_YOY,END_CCE_BALANCE_YOY,END_CCE_YOY,NETPROFIT_YOY,ASSET_IMPAIRMENT_YOY,FA_IR_DEPR_YOY,OILGAS_BIOLOGY_DEPR_YOY,IR_DEPR_YOY,IA_AMORTIZE_YOY,LPE_AMORTIZE_YOY,DEFER_INCOME_AMORTIZE_YOY,PREPAID_EXPENSE_REDUCE_YOY,ACCRUED_EXPENSE_ADD_YOY,DISPOSAL_LONGASSET_LOSS_YOY,FA_SCRAP_LOSS_YOY,FAIRVALUE_CHANGE_LOSS_YOY,FINANCE_EXPENSE_YOY,INVEST_LOSS_YOY,DEFER_TAX_YOY,DT_ASSET_REDUCE_YOY,DT_LIAB_ADD_YOY,PREDICT_LIAB_ADD_YOY,INVENTORY_REDUCE_YOY,OPERATE_RECE_REDUCE_YOY,OPERATE_PAYABLE_ADD_YOY,OTHER_YOY,OPERATE_NETCASH_OTHERNOTE_YOY,OPERATE_NETCASH_BALANCENOTE_YOY,NETCASH_OPERATENOTE_YOY,DEBT_TRANSFER_CAPITAL_YOY,CONVERT_BOND_1YEAR_YOY,FINLEASE_OBTAIN_FA_YOY,UNINVOLVE_INVESTFIN_OTHER_YOY,END_CASH_YOY,BEGIN_CASH_YOY,END_CASH_EQUIVALENTS_YOY,BEGIN_CASH_EQUIVALENTS_YOY,CCE_ADD_OTHERNOTE_YOY,CCE_ADD_BALANCENOTE_YOY,CCE_ADDNOTE_YOY,OPINION_TYPE,OSOPINION_TYPE,MINORITY_INTEREST,MINORITY_INTEREST_YOY,USERIGHT_ASSET_AMORTIZE,USERIGHT_ASSET_AMORTIZE_YOY
688271.SH,688271,联影医疗,10477590,通用,2026-03-31 00:00:00,一季报,2026一季报,058001001,2026-04-29 00:00:00,2026-04-29 00:00:00,CNY,2824529402.95,,,,,,,,,,,,69505971.76,113525305.56,,0,3007560680.27,2400414645.04,,,,,,778028444.1,336752015.46,451465057.64,,0.0,3966660162.24,,0.0,-959099481.97,12028207627.0,26422803.7,8200.0,,,,,0,12054638630.7,890147123.88,8959816318.3,,,,,,0.0,9849963442.18,,0.0,2204675188.52,,,374515436.65,,,,0,374515436.65,,3011978.64,,,16822666.37,,,0,19834645.01,,0,354680791.64,-38573211.9,,0.0,1561683286.29,5310299085.16,,0,6871982371.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5011878057,,,,,,,,,,,,-61.6153378105,-10.0825168039,,,1.6258980409,16.6892358946,,,,,,21.872461794,64.6152960462,9.3526670687,,,19.7331450563,,,-171.3350588678,20.9730331043,30.5378816643,,,,,,,20.9925477371,32.3465284654,-3.1212767608,,,,,,,-0.7167766365,,,5143.0484856602,,,,,,,,20089.5114097035,,7336.5803339078,,,57.7122972691,,,,81.0195751428,,,3996.6566087455,-6647.7928446499,,,586.3563758775,-9.501870786,,,23.8919054902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688271.SH,688271,联影医疗,10477590,通用,2025-12-31 00:00:00,年报,2025年报,058001001,2026-04-29 00:00:00,2026-04-29 00:00:00,CNY,15364921917.28,,,,,,,,,,,,546048902.13,272389039.47,,0,16183359858.88,7989420173.8,,,,,,3144650410.0,924286097.52,1445984328.07,,0.0,13504341009.39,,0.0,2679018849.49,34799167283.24,89618383.8,77500.0,,,,,0,34888863167.04,2093181965.21,36153137997.23,,,,,,0.0,38246319962.44,,0.0,-3357456795.4,12310000.0,11700000.0,1056617791.72,,,,0,1068927791.72,671484320.94,176081824.06,,,68442310.29,,,0,916008455.29,,0,152919336.43,-32037399.47,,0.0,-557556008.95,5867855094.11,,0,5310299085.16,1844047443.71,-1303061.74,289978866.69,289978866.69,,214060079.11,12345595.49,,,,641405.91,552826.48,37113946.49,8053587.21,-80512625.69,-37144944.57,-67473052.67,30328108.1,,-199664647.44,-1689001587.24,2044132552.65,-21325515.81,8927005.83,0.0,2679018849.49,,,,238499926.4,5310299085.16,5867855094.11,,,,,-557556008.95,45.8236204633,,,,,,,,,,,,13.0836672088,0.7706486075,,,43.3446381119,16.00126105,,,,,,8.0615526113,6.7786900307,16.0659664123,,,13.3975237776,,,532.7809185867,29.5910362924,-18.1405671517,-9.9622422306,,,,,,29.397101831,7.5780778635,37.7217725065,,,,,,,35.5918849355,,,-169.825282053,-86.838402076,50.0,90.3874219346,,,,,64.8275908136,7001.7670808414,-42.0014325045,,,-49.8546362524,,,,103.7658029058,,,-23.1456166294,-2125.3382459822,,,66.4683896893,-22.0801816256,,,-9.501870786,48.4831151525,90.5867016081,29.1266655425,29.1266655425,,38.1334901418,2.6329676273,,,,-26.2615318188,1.2392979091,200.3077411557,138.3628266832,17.9062395687,-1.6822299835,6.6385935886,-15.1433437705,,87.6863338136,-26.7673690348,215.1292489543,-229.761253988,-86.8252312098,,532.7809185867,,,,1136.8194516585,-9.501870786,-22.0801816256,,,,,66.4683896893,标准无保留意见,,,,53666931.66,63.6771621127
688271.SH,688271,联影医疗,10477590,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-30 00:00:00,2025-10-30 00:00:00,CNY,9646399214.09,,,,,,,,,,,,368270977.09,185916163.17,,0,10200586354.35,6027998095.17,,,,,,2319928412.81,697170385.67,1048276196.24,,0.0,10093373089.89,,-0.01,107213264.45,25615741714.18,66545829.62,65800.0,,,,,0,25682353343.8,1617289129.65,25635999199.98,,,,,,0.01,27253288329.64,,0.01,-1570934985.83,11700000.0,11700000.0,638908755.2,,,,0,650608755.2,553234320.94,66921423.48,,,41470926.73,,,0,661626671.15,,0,-11017915.95,-12481323.94,,0.0,-1487220961.27,5867855094.11,,0,4380634132.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3698655459,,,,,,,,,,,,110.5891302321,-53.0391380329,,,41.5463346917,25.6543526167,,,,,,3.7016347402,-0.6216568795,7.4693790386,,,15.8645727095,,,107.1246624784,35.1640982542,-22.6343707447,6020.9302325581,,,,,,34.9032941765,7.3881965526,39.27040032,,,,,,,36.7880669313,,,-77.2805169593,50.0,50.0,,,,,,8241.1378871795,5751.1288587398,-67.2811629118,,,-66.4962685006,,,,95.8808024605,,,96.6609344769,-6.3909328364,,,45.5758706491,-22.0801816256,,,-8.6984122647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688271.SH,688271,联影医疗,10477590,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-30 00:00:00,2025-08-30 00:00:00,CNY,6178837680.41,,,,,,,,,,,,324863010.51,158711457.91,,0,6662412148.83,3873800637.0,,,,,,1637468936.03,425196601.6,677186174.43,,0.0,6613652349.06,,0.0,48759799.77,20191246227.11,44402082.08,65400.0,,,,,0,20235713709.19,1077380818.06,18675232199.99,,,,,,0.0,19752613018.05,,0.0,483100691.14,,,71749911.33,,,,0,71749911.33,552984320.94,127366.72,,,40391520.69,,,0,593503208.35,,0,-521753297.02,-717683.65,,0.0,9389510.24,5867855094.11,,0,5877244604.35,987895732.3,197713.08,131136288.8,131136288.8,,88616111.47,6074290.06,,,,640729.77,135014.14,45441421.76,-9357428.8,-39841032.04,-14382738.55,-2902432.67,-11480305.88,,-433898899.22,-925218574.97,64634707.13,95263323.45,-38427668.1,0.0,48759799.77,,,,,5877244604.35,5867855094.11,,,,,9389510.24,42.328911022,,,,,,,,,,,,98.4412761492,-25.3085538676,,,41.2295338522,40.702609352,,,,,,8.3112942985,-20.0275205948,24.1748991511,,,23.8041520148,,,107.8066589269,141.0119517016,-19.1158898329,,,,,,,139.9702995716,10.245174063,151.7665222086,,,,,,,135.0020956883,,,1669.6876195438,,,,,,,,819.8706580769,15904.5362986808,-8.339967948,,,-65.8531069244,,,,386.9503393111,,,-357.3506808402,85.7777291488,,,101.3106123104,-22.0801816256,,,-13.7501787473,4.5873382027,100.5002825785,12.7113998711,12.7113998711,,22.8879310952,4.3455564244,,,,202.8608384649,-27.7786140317,713.2055819572,-1042.1828884793,11.5319005516,-133.2825404068,89.591239512,-152.8580012861,,24.2551734411,48.058572064,-88.1680401023,5791.7825081133,-176.0150821896,,107.8066589269,,,,,-13.7501787473,-22.0801816256,,,,,101.3106123104,,,,,16939466.7,3.8045256105
688271.SH,688271,联影医疗,10477590,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-29 00:00:00,2026-04-29 00:00:00,CNY,2652110705.19,,,,,,,,,,,,181077461.14,126254985.71,,0,2959443152.04,2057100320.04,,,,,,638395608.53,204569091.42,412852351.7,,0.0,3312917371.69,,0.0,-353474219.65,9942883400.0,20241483.44,,,,,,0,9963124883.44,672588192.68,9248487200.0,,,,,,0.0,9921075392.68,,0.0,42049490.76,,,,,1855000.0,,0,1855000.0,250000.0,40502.2,,,10666680.19,,,0,10957182.39,,0,-9102182.39,-571641.91,,0.0,-321098553.19,5867855094.11,,0,5546756540.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5099055321,,,,,,,,,,,,187.8851895541,-24.3270820537,,,42.4332543419,29.1395060236,,,,,,16.4974979518,-29.5717074083,36.056369982,,,21.1381373291,,,46.202896851,210.9390795557,-3.4893371334,,,,,,,209.5418326603,5.8410101896,150.186546608,,,,,,,128.4666418016,,,103.7417471959,,,,,,,,-76.2179487179,-87.4458873807,-45.8389887284,,,-81.828305614,,,,-81.9681119737,,,82.8149122633,58.4808521098,,,82.5032147234,-22.0801816256,,,-2.6106798181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688271.SH,688271,联影医疗,10477590,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-29 00:00:00,2026-04-29 00:00:00,CNY,10536648225.07,,,,,,,,,,,,482871590.22,270305930.58,,0,11289825745.87,6887356311.03,,,,,,2910054810.44,865609137.23,1245829740.42,,0.0,11908849999.12,,0.0,-619024253.25,26853066600.0,109478383.47,86075.0,,,,,0,26962631058.47,1945732817.3,26250851509.72,,10354444.15,,,,0.0,28206938771.17,,0.0,-1244307712.7,93529676.8,7800000.0,554982982.06,,,,0,648512658.86,9455172.4,303596850.17,,,136487812.98,,,0,449539835.55,,0,198972823.31,1581829.58,,0.0,-1662777313.06,7530632407.17,,0,5867855094.11,1241924000.46,-13842775.25,224569313.76,224569313.76,,154966097.57,12028879.0,,,,869838.94,546059.18,-37000082.01,-20993205.94,-98073989.14,-36530418.91,-72270818.6,35740399.69,,-1621488226.31,-1332363052.18,648664812.75,16434424.88,67758349.1,0.0,-619024253.25,,,,19283325.96,5867855094.11,7530632407.17,,,,,-1662777313.06,-4.5802310579,,,,,,,,,,,,6.4695028901,-57.3814780796,,,-6.9278894429,-4.0900133069,,,,,,9.3324938731,-13.4966633563,7.9297682026,,,-0.7404010908,,,-567.1490522688,6.1038941878,-24.2487183859,-33.2852785819,,,,,,5.9313503118,80.8596010616,1.3666130476,,-76.9901241111,,,,,4.4014491866,,,20.4832307055,812.4846517073,-12.8491620112,3105.5008921829,,,,,2252.7988005347,-28.182294274,82.9447210536,,,-73.2701071764,,,,-34.8241919291,,,130.0485677419,340.4004542569,,,20.6370078172,-21.766059555,,,-22.0801816256,-37.2053605221,-132.2780241489,18.4404872596,18.4404872596,,24.7825677506,-0.6933897678,,,,6560.7336741568,35.1509696712,-710.2856690248,-232.1548000174,11.1206902662,53.2987880116,4.0362363374,1327.7555507499,,-240.4024840669,1.2179299113,244.0924043152,-79.5005602846,19.9429056584,,-567.1490522688,,,,-69.878263969,-22.0801816256,-21.766059555,,,,,20.6370078172,标准无保留意见,,,,32788283.33,2.9331025098
688271.SH,688271,联影医疗,10477590,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-31 00:00:00,2025-10-30 00:00:00,CNY,6635762630.63,,,,,,,,,,,,174876536.45,395895976.74,,0,7206535143.82,4797285545.34,,,,,,2237118458.76,701531504.53,975418491.87,,0.0,8711354000.5,,0.0,-1504818856.68,18951587030.16,86014720.31,1075.0,,,,,0,19037602825.47,1506021314.79,18407356581.93,,10354444.15,,,,0.0,19923732340.87,,0.0,-886129515.4,7800000.0,7800000.0,,,,,0,7800000.0,9455172.4,204534847.31,,,123780023.52,,,0,337770043.23,,0,-329970043.23,-11731567.35,,0.0,-2732649982.66,7530632407.17,,0,4797982424.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.1754723325,,,,,,,,,,,,-38.8142538092,-0.4180395211,,,-11.6197698663,-10.5675011211,,,,,,7.0579816054,-11.2073350494,29.6676144758,,,-3.165186859,,,-78.7016153574,3.2254563692,-17.9644400781,-96.3297427406,,,,,,3.1049704163,146.4305010091,2.3272510732,,,,,,,7.117713953,,,-553.6984167338,85.7142857143,85.7142857143,,,,,,-45.0704225352,-37.1086492429,23.3146998199,,,-73.5594430662,,,,-47.9587413699,,,48.0233465403,-335.8783988258,,,-69.9926997292,-21.766059555,,,-40.1619251896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688271.SH,688271,联影医疗,10477590,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-31 00:00:00,2025-08-30 00:00:00,CNY,4341238639.46,,,,,,,,,,,,163707378.23,212489469.85,,0,4717435487.54,2753183224.42,,,,,,1511817347.06,531678653.41,545348680.82,,0.0,5342027905.71,,0.0,-624592418.17,8377695000.0,54895927.01,,,,,,0,8432590927.01,977258938.74,7417678901.93,,10354444.15,,,,0.0,8405292284.82,,0.0,27298642.19,7800000.0,7800000.0,,,,,0,7800000.0,3455172.4,138955.57,,,118287542.59,,,0,121881670.56,,0,-114081670.56,-5046195.91,,0.0,-716421642.45,7530632407.17,,0,6814210764.72,944565326.24,-39520280.84,116346961.31,116346961.31,,72111321.82,5821321.26,-221538436.51,,,-622909.34,186944.82,-7410470.99,993164.8,-45034348.3,-6165372.91,-27884517.79,21719144.88,,-572842950.38,-1781272890.9,546272195.72,1616884.59,50552689.01,0.0,-624592418.17,,,,,6814210764.72,7530632407.17,,,,,-716421642.45,-16.2850287119,,,,,,,,,,,,-14.749175125,-25.7503281821,,,-16.7112103384,-25.1478777113,,,,,,6.3146979355,-11.6408339881,15.1736702041,,,-13.4951673419,,,-22.1195789885,-0.7805320006,-19.5469680317,,,,,,,-0.9312173858,124.9812524077,-15.030208745,,,,,,,-8.280792289,,,104.1849679465,85.7142857143,85.7142857143,,,,,,85.7142857143,-55.9444249629,-99.8829113128,,,653.3746845335,,,,-14.3001715309,,,17.3436648054,-162.2290692395,,,44.6210836129,-21.766059555,,,-18.2175115481,0.5180249616,-2892.5239634762,26.4765477776,26.4765477776,,14.3458495588,13.9695793313,18.2285184158,,,-4526.6592292632,186.3804733198,-205.1285043065,104.1521252057,7.8580503972,12.4702136513,-6827.0351104714,391.2093961258,,6.4839661431,-202.2090429916,598.6804384758,-96.8299440432,266.7877715634,,-22.1195789885,,,,,-18.2175115481,-21.766059555,,,,,44.6210836129,,,,,16318620.6,7.317183814
688271.SH,688271,联影医疗,10477590,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-27 00:00:00,2025-04-29 00:00:00,CNY,1848033203.95,,,,,,,,,,,,62899193.05,166843025.4,,0,2077775422.4,1592928750.76,,,,,,547990832.21,290464362.96,303442133.4,,0.0,2734826079.33,,0.0,-657050656.93,3197695000.0,20973313.04,,,,,,0,3218668313.04,635470307.28,3696636500.0,,10354444.15,,,,0.0,4342461251.43,,0.0,-1123792938.39,7800000.0,7800000.0,,,,,0,7800000.0,1991379.3,74781.1,,,58699425.4,,,0,60765585.8,,0,-52965585.8,-1376815.13,,0.0,-1835185996.25,7530632407.17,,0,5695446410.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.009324873,,,,,,,,,,,,-7.3787563081,17.6504750837,,,-20.3934657809,-12.5408629032,,,,,,-2.1704446855,2.633400178,17.1043939742,,,-6.4575942627,,,-109.5418698734,59.88475,88.1407568313,,,,,,,60.0413713557,249.3252941544,12.0192878788,,,,,,,24.7147895819,,,23.5913140933,85.7142857143,85.7142857143,,,,,,85.7142857143,-78.4266963665,38.7531621637,,,910.582233819,,,,302.6043163053,,,-386.2293418789,64.97304161,,,-2.002654048,-21.766059555,,,-27.2299173846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688271.SH,688271,联影医疗,10477590,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-27 00:00:00,2025-04-29 00:00:00,CNY,11042416411.07,,,,,,,,,,,,453530426.19,634245202.32,,0,12130192039.58,7181062732.36,,,,,,2661655933.52,1000665605.3,1154296688.64,,0.0,11997680959.82,,0.0,132511079.76,25308276200.0,144523473.58,129019.5,,,,,0,25452928693.08,1075825007.84,25896940541.34,,45000000.0,,,,0.0,27017765549.18,,0.0,-1564836856.1,10250000.0,8950000.0,17313455.86,,,,0,27563455.86,13165517.2,165950046.78,,,510618631.66,,,0,689734195.64,,0,-662170739.78,-657997.75,,0.0,-2095154513.87,9625786921.04,,0,7530632407.17,1977754806.44,42886067.58,189605192.41,189605192.41,,124188899.43,12112868.39,-95959922.96,,,-13463.47,404036.45,6062747.97,15885314.75,-110345129.18,-78221565.04,-75310529.56,-2911035.48,,-476344416.45,-1348790373.58,-450172801.15,80170117.37,56492169.11,0.0,132511079.76,,,,64017976.72,7530632407.17,9625786921.04,,,,,-2095154513.87,10.7747668712,,,,,,,,,,,,42.3886558089,45.6860916967,,,13.1313868227,9.4049115136,,,,,,34.659959544,43.0329653014,44.3819388866,,,19.505920731,,,-80.5933675265,253.27148984,275.3765380525,-92.5204608393,,,,,,251.9358942716,45.119911091,132.1125240696,,,,,,,126.6386635207,,,66.6261579595,-99.9050525036,,0.429701466,,,,,-99.7450820939,-59.1268125987,17244.4884697385,,,901.064150708,,,,719.4048828161,,,-106.1720694467,-102.1530229059,,,-131.025229809,235.0757028747,,,-21.766059555,19.8577077403,-42.6247023923,18.0206184883,18.0206184883,,20.9828613236,28.4027455309,32.4348924238,,,-2412.3574471009,188.0652226347,121.2731393767,180.3705527763,-771.1221467524,-52.84230295,-38.0602685169,-186.3534725401,,63.3538968121,-4.8357234484,-130.7576053851,196.963784207,59.8644488629,,-80.5933675265,,,,1584.2945524472,-21.766059555,235.0757028747,,,,,-131.025229809,标准无保留意见,,,,31853973.63,113.7579631651
